shipping_id,date_id,product_id,market_id,warehouse_id,quantity_shipped,cost_of_shipping,delivery_status,days_for_delivery
148,1219,1,8,1,158,305.03,Delivered,6
149,167,35,1,5,125,388.54,In Transit,2
150,983,16,2,5,30,387.7,In Transit,8
151,241,36,6,4,20,222.28,Delivered,10
152,218,25,15,1,57,157.53,Delivered,5
153,740,22,13,1,83,257.22,Delivered,3
154,231,4,5,3,135,111.71,In Transit,6
155,1013,35,12,3,161,283.81,Delivered,1
156,570,3,4,1,166,264.68,Delivered,2
157,1001,30,4,2,117,123.38,Delivered,1
158,2060,33,13,5,200,204.99,In Transit,9
159,1338,29,7,5,93,235.97,Delayed,1
160,305,36,5,3,88,270.7,Delivered,6
161,2080,23,7,4,69,282.02,Delivered,9
162,1087,23,5,3,126,340.63,Delivered,6
163,923,19,8,5,176,227.98,Delivered,8
164,1163,36,14,5,19,268.1,Delayed,9
165,1295,21,7,1,190,214.66,Delivered,6
166,228,10,11,2,72,477.95,Delivered,10
167,1981,14,14,1,138,413.43,Delivered,2
168,1349,7,13,2,154,240.42,Delayed,2
169,1718,3,2,5,98,268.33,Delayed,5
170,1709,27,2,2,185,292.35,Delivered,8
171,1821,24,3,4,107,474.4,Delivered,3
172,471,21,1,5,92,90.49,Delivered,8
173,1163,3,9,4,42,51.54,Delivered,5
174,1438,10,11,5,186,265.4,Delayed,5
175,1015,9,10,3,37,314.99,Delivered,10
176,1910,30,3,3,148,276.94,Delivered,1
177,142,15,3,3,27,278.47,Delivered,2
178,1125,27,3,4,100,112.12,Delivered,6
179,2128,34,4,2,107,225.3,Delivered,7
180,1254,10,8,3,181,215.64,Delayed,2
181,855,11,9,5,161,358.55,Delivered,8
182,1917,34,9,1,139,159.13,Delivered,5
183,428,36,14,2,84,291.16,Delivered,1
184,1723,30,5,5,135,119.45,Delivered,2
185,1998,24,10,3,149,185.75,Delivered,7
186,1402,27,1,1,69,91.82,Delivered,3
187,1882,7,2,3,195,198.84,Delivered,8
188,1975,8,3,3,200,199.57,Delivered,8
189,1769,1,1,1,66,273.51,In Transit,3
190,599,11,10,2,119,401.91,Delivered,8
191,1505,26,1,4,126,412.89,Delivered,10
192,169,11,15,3,99,348.36,Delivered,10
193,283,11,15,2,105,181.41,Delivered,8
194,394,32,4,2,151,136.26,Delivered,6
195,1553,23,14,5,55,275.82,Delayed,2
196,1981,25,11,1,170,380.29,Delivered,6
197,890,12,15,1,25,407.08,Delivered,5
198,357,13,8,4,139,262.74,Delivered,7
199,58,21,12,2,138,406.69,Delivered,8
200,715,11,10,5,31,474.52,Delivered,2
201,816,24,3,3,58,484.76,Delivered,2
202,1171,12,8,1,184,136.98,Delivered,9
203,1573,21,3,3,141,452.47,Delivered,8
204,1661,20,11,1,71,220.77,Delivered,4
205,399,12,9,5,88,306.49,Delivered,5
206,1643,5,12,3,110,283.39,Delivered,2
207,2092,8,11,5,171,53.55,Delivered,9
208,123,33,3,5,137,266.61,Delivered,7
209,1041,29,7,3,183,114.13,Delayed,6
210,290,36,3,1,77,113.12,Delivered,7
211,137,33,6,4,173,451.68,In Transit,9
212,872,26,2,2,184,480.95,Delivered,4
213,1034,12,7,5,159,467.66,Delivered,3
214,1358,13,7,3,39,98.27,Delivered,10
215,35,15,6,4,132,221.76,Delivered,1
216,525,5,5,1,151,119.9,Delivered,1
217,1919,21,12,5,155,302.97,Delivered,6
218,776,6,6,5,54,428.6,Delivered,4
219,1106,7,8,3,56,229.22,Delivered,2
220,1232,36,1,1,179,182.38,Delivered,7
221,69,10,1,1,136,373.62,Delivered,5
222,1752,30,5,4,141,471.24,Delivered,8
223,1894,18,14,3,115,232.04,Delivered,4
224,1796,28,3,2,177,217.61,Delivered,2
225,1447,29,12,2,97,422.49,Delivered,4
226,1033,5,12,3,120,314.28,Delivered,1
227,1920,15,8,2,151,497.09,Delivered,6
228,1260,16,11,1,79,80.99,Delivered,3
229,581,35,6,2,105,483.76,Delivered,6
230,1247,10,4,3,91,152.74,Delivered,7
231,1389,27,9,2,188,168.96,Delivered,4
232,2061,24,8,3,182,399.58,Delivered,3
233,2156,28,7,3,158,259.94,Delivered,4
234,1889,30,1,1,69,65.84,Delivered,8
235,882,29,9,1,171,448.67,Delivered,2
236,2054,10,6,3,95,222.77,Delivered,4
237,410,21,8,2,16,69.87,Delivered,5
238,1725,12,1,2,146,285.61,Delivered,8
239,1669,36,5,1,18,179.36,Delivered,5
240,2119,29,3,4,131,415.78,Delivered,4
241,1360,20,13,3,187,238.95,In Transit,4
242,387,5,6,4,100,429.62,Delayed,3
243,1226,21,4,5,177,279.95,Delivered,8
244,1718,29,5,1,37,233.05,Delivered,9
245,191,1,9,1,61,116.64,Delivered,1
246,938,8,13,2,138,213.48,Delivered,4
247,652,3,11,2,84,487.16,Delivered,7
248,171,33,1,5,36,240.65,Delivered,1
249,1523,36,13,2,59,98.9,Delivered,7
250,680,31,15,4,93,383.54,Delivered,3
251,2134,26,4,1,57,192.99,Delivered,7
252,1379,30,6,2,160,205.93,Delivered,9
253,262,27,14,4,79,157.61,Delivered,10
254,1817,35,10,1,129,158.1,Delivered,9
255,1234,27,9,2,55,233.74,Delivered,5
256,405,23,15,5,145,242.63,Delivered,7
257,915,4,8,1,137,376.02,Delivered,1
258,1497,25,6,5,157,400.13,Delivered,6
259,39,10,1,4,123,336.33,In Transit,3
260,1883,8,1,5,19,266.32,Delivered,1
261,1434,27,10,3,80,485.81,In Transit,10
262,1354,13,15,4,61,199.83,Delivered,2
263,2013,19,3,4,107,294.39,Delivered,8
264,508,31,3,1,103,285.59,Delivered,8
265,985,21,8,3,67,414.33,Delivered,10
266,203,34,4,1,183,339.78,Delivered,3
267,276,13,1,4,198,485.84,Delivered,6
268,694,23,12,4,165,416.2,In Transit,4
269,1899,22,3,2,159,138.83,Delivered,3
270,2168,13,5,1,164,351.48,Delivered,6
271,1649,16,1,1,13,73.89,Delivered,6
272,1567,18,6,1,45,162.42,Delivered,6
273,47,28,3,4,101,177.33,Delayed,1
274,1625,19,1,5,176,252.77,Delivered,10
275,1611,11,12,5,79,102.98,Delivered,4
276,333,25,7,5,17,121.91,Delivered,4
277,1030,35,12,4,30,163.64,Delivered,3
278,658,1,7,4,68,127.51,Delivered,7
279,1327,8,11,5,142,170.41,Delivered,1
280,1620,12,7,3,173,464.71,Delivered,5
281,125,8,2,4,189,113.97,Delivered,1
282,1568,24,6,2,175,419.51,Delivered,10
283,933,8,9,1,165,265.4,Delivered,6
284,1779,2,2,2,87,150.21,Delivered,8
285,2015,31,9,5,189,355.85,Delivered,5
286,1521,21,13,4,121,421.7,Delivered,4
287,434,33,2,1,16,185.3,Delivered,4
288,1891,3,5,3,19,422.63,Delivered,1
289,268,32,13,3,156,270.8,Delivered,1
290,1222,13,6,2,117,340.42,Delivered,10
291,1878,20,13,2,54,220.72,Delivered,4
292,1777,15,14,1,121,429.86,Delivered,7
293,2009,4,7,4,65,310.73,Delivered,1
294,643,9,15,3,46,373.09,Delivered,2
295,627,18,14,1,14,463.48,In Transit,1
296,314,15,12,3,164,390.55,Delivered,7
297,1689,33,11,3,18,434.51,Delivered,5
298,1216,4,3,3,42,130.66,In Transit,9
299,607,17,15,4,29,401.97,Delivered,7
300,1520,12,15,5,58,155.79,In Transit,9
301,611,14,12,3,25,396.18,Delivered,8
302,1707,17,14,2,99,171.62,In Transit,4
303,1605,4,7,1,54,418.48,Delivered,6
304,977,8,5,5,117,51.66,Delivered,2
305,789,3,8,5,171,378.03,Delivered,4
306,584,19,13,1,175,391.62,Delivered,8
307,1661,14,14,2,131,254.75,Delayed,2
308,1973,4,7,3,76,344.66,Delivered,7
309,2038,14,2,5,178,102.63,Delivered,8
310,769,25,15,4,27,68.08,Delivered,7
311,1126,23,9,3,76,269.21,Delivered,7
312,590,5,8,4,109,124.17,Delivered,2
313,1669,30,14,5,139,301.85,Delivered,3
314,406,32,3,1,179,67.09,Delivered,10
315,1673,32,15,1,110,250.76,Delivered,3
316,175,4,3,1,38,294.91,Delivered,6
317,1727,28,7,1,133,295.14,Delivered,5
318,1715,6,7,4,181,377.41,In Transit,9
319,743,28,8,3,19,147.25,Delivered,7
320,2130,19,10,5,181,288.15,Delivered,8
321,872,9,4,5,163,423.68,Delivered,3
322,2110,2,13,4,26,449.98,Delivered,5
323,11,16,5,4,149,287.09,Delivered,7
324,651,18,15,5,105,416.02,Delivered,7
325,988,29,5,2,171,498.32,Delivered,5
326,1517,1,1,4,135,219.6,Delivered,3
327,1127,21,2,1,85,342.99,Delivered,4
328,1509,14,14,2,50,182.24,Delivered,8
329,1410,36,12,2,10,261.57,In Transit,10
330,917,14,8,2,119,189.88,Delivered,3
331,1543,12,3,2,67,289.12,Delivered,4
332,674,35,14,3,161,315.31,Delivered,8
333,1966,7,15,5,62,203.44,In Transit,1
334,1271,17,2,5,187,492.88,Delivered,8
335,1403,22,10,1,101,431.02,Delivered,2
336,37,31,15,4,168,157.89,Delivered,9
337,187,19,10,5,104,316.18,Delivered,9
338,311,28,13,4,13,112.82,Delivered,10
339,1080,32,12,1,81,395.88,Delivered,5
340,646,17,12,3,135,67.54,In Transit,4
341,1855,33,13,2,179,61.88,Delivered,5
342,644,20,14,4,40,493.72,Delivered,4
343,1052,21,2,3,19,490.87,Delivered,9
344,401,17,15,5,91,171.05,Delivered,6
345,2048,26,7,1,115,353.63,Delivered,6
346,1223,6,11,1,192,258.65,Delivered,7
347,1507,33,1,1,175,131.85,Delivered,10
348,1183,6,13,5,131,345.75,Delayed,1
349,566,24,8,2,170,221.04,Delivered,7
350,1593,3,4,1,12,460.96,In Transit,5
351,750,33,10,1,105,151.89,Delivered,7
352,1825,1,7,2,76,352.1,Delivered,7
353,2178,18,3,2,158,114.0,Delivered,8
354,29,1,2,3,157,322.88,Delivered,2
355,1597,20,3,1,37,390.16,Delivered,3
356,1177,29,8,5,143,350.37,Delivered,1
357,524,18,8,4,79,201.78,Delivered,4
358,1357,15,7,5,150,253.01,Delivered,10
359,220,20,6,2,39,338.69,Delivered,7
360,1464,33,2,5,189,167.67,Delivered,6
361,301,30,12,4,79,434.15,Delivered,7
362,1963,18,4,5,128,350.34,In Transit,7
363,1522,29,14,2,159,189.6,Delayed,10
364,303,3,15,5,120,437.54,Delivered,5
365,443,1,10,1,15,92.28,Delivered,8
366,834,30,7,5,15,196.99,Delivered,7
367,173,27,12,1,65,83.35,Delivered,7
368,910,20,8,3,118,149.11,Delivered,7
369,1083,27,6,1,60,479.43,Delivered,5
370,1229,29,15,2,200,414.41,Delivered,3
371,530,16,9,4,174,162.08,Delayed,9
372,1279,32,5,2,135,94.67,Delivered,5
373,835,33,4,4,127,196.62,Delivered,9
374,1040,20,13,4,135,121.06,Delivered,5
375,1572,7,1,1,34,145.44,Delivered,5
376,742,21,13,2,62,234.58,Delivered,1
377,1965,22,15,4,200,321.72,Delivered,10
378,219,21,9,1,85,464.76,Delivered,1
379,1403,31,10,5,174,87.48,Delivered,1
380,817,6,8,1,72,496.8,Delivered,3
381,980,12,10,4,72,294.46,Delivered,2
382,1779,25,8,2,15,287.83,Delivered,7
383,1086,29,3,5,188,184.23,Delivered,5
384,1627,20,7,4,34,199.71,Delivered,1
385,1550,13,13,4,18,163.08,Delivered,10
386,1714,22,9,5,26,275.18,Delivered,3
387,357,15,11,2,93,386.55,Delivered,1
388,643,8,7,2,90,326.24,Delivered,6
389,1840,27,13,2,106,232.65,Delivered,6
390,1070,34,9,3,76,267.68,Delivered,4
391,1991,9,4,2,200,467.63,Delivered,7
392,2002,1,11,2,36,494.51,Delivered,2
393,1590,26,3,4,123,82.46,Delivered,7
394,2122,21,15,1,52,218.8,Delivered,5
395,1214,23,3,1,194,148.74,Delivered,1
396,1178,2,13,3,84,257.02,Delivered,5
397,298,31,5,4,115,260.34,Delivered,7
398,64,7,7,5,121,156.53,Delivered,2
399,1283,18,10,1,156,489.75,Delivered,9
400,1087,8,6,4,70,435.08,Delivered,6
401,311,26,9,3,70,304.72,Delivered,10
402,1907,33,13,2,88,238.66,Delivered,5
403,364,29,8,3,188,161.39,Delivered,1
404,1244,18,1,4,72,300.57,Delivered,5
405,1182,26,4,1,31,153.27,Delivered,8
406,947,17,14,3,114,88.18,Delivered,2
407,2098,30,7,2,95,347.12,Delivered,3
408,1760,24,12,3,20,75.65,Delivered,4
409,626,5,6,3,11,159.07,Delivered,2
410,554,10,8,2,129,256.08,Delivered,4
411,1255,23,6,2,61,422.6,In Transit,7
412,478,24,12,2,53,88.92,Delivered,8
413,1415,11,6,2,121,289.98,Delivered,7
414,9,17,10,4,194,367.28,Delivered,4
415,81,26,15,2,40,197.71,Delivered,5
416,645,36,10,3,140,87.59,Delivered,6
417,1470,13,6,4,120,152.61,Delivered,5
418,1165,35,4,2,92,427.34,In Transit,10
419,1160,28,15,4,39,444.32,Delivered,3
420,1171,31,5,5,113,293.23,Delivered,1
421,1092,13,4,1,101,217.95,Delivered,2
422,1535,18,13,5,47,287.95,Delivered,7
423,1763,4,13,5,19,167.29,Delivered,7
424,800,26,6,4,128,187.48,In Transit,4
425,1555,30,7,2,97,244.46,Delivered,9
426,1573,5,15,3,138,56.09,Delivered,2
427,523,9,7,4,148,122.72,Delivered,10
428,115,24,5,3,132,433.36,In Transit,3
429,1364,13,1,4,65,445.9,Delivered,8
430,1853,11,5,5,60,390.88,Delivered,7
431,1382,30,11,2,61,134.01,Delivered,10
432,2143,31,10,2,65,58.76,Delivered,4
433,391,5,3,4,85,323.2,In Transit,9
434,1534,23,4,3,117,100.66,In Transit,9
435,1746,9,5,3,59,340.64,Delivered,4
436,89,33,15,3,28,55.38,In Transit,6
437,1212,16,8,3,19,391.57,Delivered,8
438,344,14,12,5,69,98.82,In Transit,4
439,2111,16,8,5,170,292.91,Delivered,6
440,2144,8,13,2,77,152.66,Delivered,1
441,119,2,6,2,194,224.04,Delivered,8
442,2071,29,14,4,134,133.86,In Transit,3
443,2056,6,13,4,94,244.3,Delivered,10
444,309,28,7,3,61,53.29,Delivered,7
445,438,9,2,1,97,110.32,Delivered,8
446,1723,17,1,5,39,168.73,Delivered,9
447,1058,1,13,3,62,218.98,In Transit,7
448,433,14,5,5,180,403.38,Delivered,5
449,1601,2,9,5,184,477.62,Delivered,2
450,1231,22,13,5,105,74.55,Delayed,1
451,1099,16,7,5,56,349.16,Delivered,3
452,1913,24,14,4,149,342.71,Delivered,6
453,1317,14,8,4,68,459.4,Delivered,2
454,1411,27,6,1,89,65.2,In Transit,9
455,1072,33,14,4,130,239.13,Delivered,4
456,541,33,9,5,136,100.38,Delivered,3
457,241,13,6,4,49,89.33,Delivered,5
458,117,6,15,1,84,260.47,Delivered,5
459,910,28,14,5,144,149.05,Delivered,4
460,1025,17,12,3,125,326.04,Delivered,3
461,729,4,15,3,113,420.53,Delivered,1
462,2186,27,6,1,196,181.86,Delivered,2
463,772,26,9,5,165,280.67,Delivered,9
464,923,2,3,1,108,161.8,Delayed,1
465,1614,3,6,1,11,285.09,Delivered,6
466,237,33,10,1,90,367.43,Delivered,2
467,1704,7,4,1,117,57.31,Delivered,4
468,637,23,1,3,11,148.66,Delivered,9
469,1735,26,2,4,69,60.86,Delivered,1
470,1018,19,6,2,140,190.79,Delivered,6
471,244,29,11,5,173,143.33,Delivered,10
472,1408,11,9,3,114,401.51,Delivered,7
473,1937,27,12,1,117,328.95,Delivered,9
474,507,4,13,2,114,389.26,In Transit,4
475,469,16,10,2,158,404.97,Delivered,5
476,1631,7,4,5,162,290.52,Delivered,5
477,1646,16,14,2,148,358.8,Delayed,10
478,399,21,9,4,99,330.03,Delivered,4
479,620,13,2,4,33,206.05,Delivered,9
480,1183,30,4,5,156,195.98,In Transit,5
481,1814,27,8,5,81,226.97,Delivered,8
482,70,14,4,2,41,324.52,Delivered,4
483,1657,20,6,2,174,352.24,Delivered,6
484,1165,23,11,1,47,92.48,Delivered,7
485,549,13,7,3,94,419.42,Delivered,1
486,2078,6,1,1,140,78.72,Delivered,6
487,1607,1,9,5,165,488.3,Delivered,6
488,41,1,8,5,117,123.55,Delivered,7
489,2017,25,5,5,44,411.45,Delivered,4
490,1976,23,12,1,188,124.42,Delivered,5
491,402,23,10,5,46,168.44,In Transit,7
492,172,24,6,5,187,57.24,Delivered,3
493,1851,28,4,3,115,133.53,Delivered,8
494,62,29,11,3,138,99.62,Delivered,3
495,1479,5,9,3,84,476.53,Delivered,2
496,1460,23,3,2,176,152.39,Delivered,10
497,7,4,8,4,76,435.72,Delivered,3
498,251,13,10,1,100,496.04,Delivered,1
499,2046,29,14,3,119,50.81,Delivered,4
500,1458,25,13,4,86,326.94,Delivered,7
501,2071,21,3,1,150,299.36,Delivered,4
502,625,1,9,3,144,335.8,Delivered,1
503,1184,6,13,1,74,93.39,In Transit,8
504,2162,17,4,3,18,197.95,Delayed,7
505,789,3,12,5,56,84.78,Delivered,8
506,747,25,8,1,39,478.11,Delivered,9
507,924,14,7,4,76,361.35,In Transit,5
508,1634,33,10,3,139,367.41,Delivered,6
509,815,17,14,5,168,397.99,Delivered,7
510,497,11,12,3,178,483.91,In Transit,7
511,1062,27,4,2,111,116.59,Delivered,10
512,1599,34,4,1,164,466.75,Delivered,9
513,163,34,15,3,113,488.46,In Transit,9
514,24,26,1,5,112,476.01,Delayed,10
515,2130,5,6,2,137,186.14,Delivered,1
516,908,7,5,3,40,440.25,Delivered,4
517,1340,3,14,3,20,475.11,Delivered,9
518,953,28,1,5,37,197.12,Delivered,8
519,1644,21,3,3,20,374.25,In Transit,8
520,821,32,6,2,53,67.2,Delivered,5
521,868,23,2,3,136,265.25,Delivered,4
522,1666,4,4,3,192,371.48,Delivered,5
523,195,16,6,3,95,177.64,Delivered,6
524,743,31,7,3,149,474.23,Delivered,4
525,1789,31,7,3,63,225.86,Delivered,10
526,652,21,10,3,151,264.97,Delivered,4
527,1796,28,8,4,142,71.89,Delivered,1
528,888,20,6,3,72,399.06,Delayed,9
529,1701,30,2,1,190,446.7,Delivered,2
530,1874,27,7,4,186,170.64,Delivered,1
531,2054,29,10,3,58,115.15,Delivered,8
532,1683,15,5,2,97,121.28,Delayed,8
533,1145,25,1,3,80,314.15,Delivered,2
534,1726,27,11,2,54,78.09,In Transit,5
535,1116,18,11,3,177,455.32,In Transit,3
536,585,18,8,5,156,245.66,In Transit,2
537,764,12,7,4,191,149.41,Delivered,10
538,1753,29,6,5,127,137.62,Delivered,7
539,904,17,2,3,166,443.4,Delivered,6
540,1115,25,12,5,17,107.13,Delivered,8
541,94,17,6,4,29,278.26,Delivered,4
542,1528,17,3,4,98,463.38,Delivered,6
543,1756,22,9,2,104,495.7,Delivered,8
544,323,27,2,5,116,443.09,In Transit,9
545,124,22,14,4,41,497.66,In Transit,7
546,955,30,10,4,22,257.29,Delivered,2
547,677,33,10,4,48,283.7,Delivered,2
548,1798,6,1,1,97,139.49,Delivered,3
549,1787,24,5,5,40,278.06,Delivered,6
550,1006,3,7,1,189,183.61,Delivered,6
551,1668,1,3,2,95,126.73,Delivered,10
552,2175,12,3,5,158,420.01,Delivered,1
553,1484,17,13,4,118,86.0,In Transit,10
554,432,27,2,1,132,166.29,Delivered,3
555,1593,28,11,5,129,94.97,Delivered,1
556,1850,8,2,2,107,223.68,Delivered,3
557,169,2,1,4,152,286.99,Delivered,8
558,1311,30,10,3,88,336.12,Delivered,7
559,122,30,10,3,61,474.27,Delivered,3
560,771,26,1,1,81,119.75,Delivered,5
561,1473,1,11,3,112,174.53,Delivered,10
562,212,29,5,3,153,157.62,Delivered,4
563,1112,6,9,3,197,70.97,Delivered,8
564,713,23,3,4,98,324.0,Delivered,1
565,791,34,2,4,53,214.61,Delivered,10
566,1771,2,9,1,136,411.44,Delivered,8
567,1369,6,13,3,179,273.07,In Transit,6
568,916,35,11,3,17,269.51,Delivered,6
569,1078,2,13,4,16,494.53,Delivered,3
570,733,15,6,3,90,184.41,Delivered,8
571,1603,1,10,3,142,340.04,Delivered,6
572,1974,6,11,3,65,194.59,In Transit,7
573,1370,15,3,2,30,284.36,In Transit,9
574,860,25,7,3,38,283.46,In Transit,8
575,2039,32,14,5,129,98.3,Delivered,2
576,195,4,2,5,111,181.25,Delivered,5
577,1998,32,7,4,62,191.33,Delivered,2
578,1172,14,6,4,76,184.24,Delayed,6
579,1013,35,8,2,136,120.4,Delivered,2
580,83,34,15,5,68,97.75,Delivered,10
581,1006,9,4,3,138,296.42,Delivered,3
582,562,35,5,4,193,201.57,Delivered,7
583,374,33,7,5,190,295.24,Delivered,6
584,655,17,8,4,160,270.3,Delivered,7
585,118,15,3,1,23,224.2,Delivered,4
586,1148,3,15,5,42,481.5,Delivered,4
587,417,17,3,4,76,102.86,Delivered,7
588,979,26,11,4,24,404.36,Delivered,2
589,1488,23,3,4,122,290.95,Delivered,5
